FileName,GUID,FileName Path,FileName Version,Created DateTime,Updated DateTime,Created By,Updated By
DocAve_Software_Brochure.pdf,"3a1d05c5-2d6c-46d6-8981-d70d17ba4458              ",http://msfdemo.isearch.com:18605/Demo MSF/DocAve_Software_Brochure.pdf,1,2023-01-25 06:40:52.000,2023-01-25 06:40:52.000,"Guru                                                                                                ","Guru                                                                                                "
Deployer User Guide.pdf,"b90155f0-f06b-4a47-b811-536ca276fab9              ",http://msfdemo.isearch.com:18605/Demo MSF/Deployer User Guide.pdf,1,2023-01-25 06:40:53.000,2023-01-25 06:40:53.000,"Govind                                                                                              ","Guru                                                                                                "
Construction_2.pdf,"566e050c-f49f-45c5-ba12-faaba4e3772d              ",http://msfdemo.isearch.com:18605/Demo MSF/Construction_2.pdf,1,2023-01-25 06:40:53.000,2023-01-25 06:40:53.000,"Arun                                                                                                ","Govind                                                                                              "
computation_1.pdf,"65e4f005-9746-47e9-a318-d6fc73a79415              ",http://msfdemo.isearch.com:18605/Demo MSF/computation_1.pdf,1,2023-01-25 06:40:53.000,2023-01-25 06:40:53.000,"Karan                                                                                               ","Govind                                                                                              "
community based child protection.pdf,"f50ee95e-4377-465f-808d-d06d1fcdf7b8              ",http://msfdemo.isearch.com:18605/Demo MSF/community based child protection.pdf,1,2023-01-25 06:40:53.000,2023-01-25 06:40:53.000,"Pranav                                                                                              ","Arun                                                                                                "
Claims-Based Identity for Windows.pdf,"8010c1f2-74d8-4a8c-8de2-c6bb5346809e              ",http://msfdemo.isearch.com:18605/Demo MSF/Claims-Based Identity for Windows.pdf,1,2023-01-25 06:40:54.000,2023-01-25 06:40:54.000,"Rajesh                                                                                              ","Karan                                                                                               "
Civildisobedience_4.pdf,"73d401fd-1ea8-4c9a-8d29-2454734ce187              ",http://msfdemo.isearch.com:18605/Demo MSF/Civildisobedience_4.pdf,1,2023-01-25 06:40:54.000,2023-01-25 06:40:54.000,"Bijjala                                                                                             ","Pranav                                                                                              "
Child Protection CPS.pdf,"4baeb893-4ccc-4acf-8c91-d2916117a114              ",http://msfdemo.isearch.com:18605/Demo MSF/Child Protection CPS.pdf,1,2023-01-25 06:40:54.000,2023-01-25 06:40:54.000,"Amit                                                                                                ","Pranav                                                                                              "
Child Abuse.pdf,"5b44669f-1318-43a6-b1b0-7c29e11c658d              ",http://msfdemo.isearch.com:18605/Demo MSF/Child Abuse.pdf,1,2023-01-25 06:40:54.000,2023-01-25 06:40:54.000,"Guru                                                                                                ","Pranav                                                                                              "
the-sharepoint-mvp-guide-to-optimizing-storage-and-performance.pdf,"93af8d54-beed-438c-8566-bcc2ccc84f0c              ",http://msfdemo.isearch.com:18605/Demo MSF/the-sharepoint-mvp-guide-to-optimizing-storage-and-performance.pdf,1,2023-01-25 06:40:54.000,2023-01-25 06:40:54.000,"Govind                                                                                              ","Amit                                                                                                "
TeBS_NTU_PaCE_CRM_Upgrade_ExtReq_WebRegistration_Final_SignOff.pdf,"ad55a9db-dad6-4f7c-aafc-af4e09c4c5ab              ",http://msfdemo.isearch.com:18605/Demo MSF/TeBS_NTU_PaCE_CRM_Upgrade_ExtReq_WebRegistration_Final_SignOff.pdf,1,2023-01-25 06:40:54.000,2023-01-25 06:40:54.000,"Pranav                                                                                              ","Amit                                                                                                "
TeBS_2018_NTU_CoPaCE_CR0243_20181005_v0.2.pdf,"48b3d01a-465a-492d-8a2d-92b7eaa3c463              ",http://msfdemo.isearch.com:18605/Demo MSF/TeBS_2018_NTU_CoPaCE_CR0243_20181005_v0.2.pdf,1,2023-01-25 06:40:55.000,2023-01-25 06:40:55.000,"Karan                                                                                               ","Guru                                                                                                "
TeBS_2018_NTU_CoPaCE_CR0243_20181003_v0.1.pdf,"0646781d-fd83-43d7-bcd1-2bbd1b8b04cd              ",http://msfdemo.isearch.com:18605/Demo MSF/TeBS_2018_NTU_CoPaCE_CR0243_20181003_v0.1.pdf,1,2023-01-25 06:40:55.000,2023-01-25 06:40:55.000,"Arun                                                                                                ","Bijjala                                                                                             "
SubsiteOrSiteCollection_SPTechCon_Oct2010.pdf,"53c3ace0-0327-4814-96b7-535fb9dfe206              ",http://msfdemo.isearch.com:18605/Demo MSF/SubsiteOrSiteCollection_SPTechCon_Oct2010.pdf,1,2023-01-25 06:40:55.000,2023-01-25 06:40:55.000,"Rajesh                                                                                              ","Rajesh                                                                                              "
SP_RequirementSpecifications.pdf,"5f09ebc8-b552-47f7-984b-21f83fbe404a              ",http://msfdemo.isearch.com:18605/Demo MSF/SP_RequirementSpecifications.pdf,1,2023-01-25 06:40:55.000,2023-01-25 06:40:55.000,"Amit                                                                                                ","Karan                                                                                               "
NTU_PACE_CETCRM Fees Calculation User Manual_V0.1.pdf,"9e0b6ac7-f301-44b8-9436-5c4d5d5b9573              ",http://msfdemo.isearch.com:18605/Demo MSF/NTU_PACE_CETCRM Fees Calculation User Manual_V0.1.pdf,1,2023-01-25 06:40:56.000,2023-01-25 06:40:56.000,"Arun                                                                                                ","Kumar                                                                                               "
NintexWorkflow2013Helpfile.pdf,"fc7c522c-36e5-4099-b807-2b722db47512              ",http://msfdemo.isearch.com:18605/Demo MSF/NintexWorkflow2013Helpfile.pdf,1,2023-01-25 06:40:56.000,2023-01-25 06:40:56.000,"Govind                                                                                              ","Arun                                                                                                "
Harvard_3.pdf,"7f55998e-7a61-4f66-b012-9599db3d6480              ",http://msfdemo.isearch.com:18605/Demo MSF/Harvard_3.pdf,1,2023-01-25 06:40:57.000,2023-01-25 06:40:57.000,"Rajesh                                                                                              ","Guru                                                                                                "
Granular_Backup_and_Restore_User_Guide.pdf,"cda77c24-ed41-400d-85aa-385ba97d58a5              ",http://msfdemo.isearch.com:18605/Demo MSF/Granular_Backup_and_Restore_User_Guide.pdf,1,2023-01-25 06:40:57.000,2023-01-25 06:40:57.000,"Govind                                                                                              ","Govind                                                                                              "
Documentum Exporter Guide.pdf,"caed5de4-cf95-4bdf-b714-d104d6869d0f              ",http://msfdemo.isearch.com:18605/Demo MSF/Documentum Exporter Guide.pdf,1,2023-01-25 06:40:57.000,2023-01-25 06:40:57.000,"Guru                                                                                                ","Govind                                                                                              "
